trial,hold_label,phase,control_mode,sample_id,magnet_id,head_id,force_calibration_id,displacement_zero_id,F_target_N,F_N,F_error_N,d_actual_mm,mark10_pos_mm,t_rel_s,control_action,d_after_action_mm,move_delta_mm,mean_Bx_uT,mean_By_uT,mean_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT
3,180,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.80000,1.792800,-0.007200,1.4200,-2.0300,5.5125,none,1.4200,0.0000,-1111.8490,9465.7490,4826.4480,-275.6929,2867.9337,1622.3300,10683.2211
3,180,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.80000,1.792400,-0.007600,1.4200,-2.0300,5.6005,none,1.4200,0.0000,-1104.6380,9471.7600,4828.3830,-268.4819,2873.9447,1624.2650,10688.6737
3,180,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.80000,1.791700,-0.008300,1.4200,-2.0300,5.6896,none,1.4200,0.0000,-1106.4400,9474.1600,4837.0960,-270.2839,2876.3447,1632.9780,10694.9247
3,180,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.80000,1.792500,-0.007500,1.4200,-2.0300,5.7766,none,1.4200,0.0000,-1110.6470,9468.7510,4834.1920,-274.4909,2870.9357,1630.0740,10689.2560
3,180,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.80000,1.790400,-0.009600,1.4200,-2.0300,5.8647,none,1.4200,0.0000,-1108.2440,9475.9620,4829.3510,-272.0879,2878.1467,1625.2330,10693.2077
3,180,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.80000,1.791300,-0.008700,1.4200,-2.0300,5.9527,none,1.4200,0.0000,-1110.0460,9472.9590,4840.9680,-273.8899,2875.1437,1636.8500,10695.9864
3,180,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.80000,1.791100,-0.008900,1.4200,-2.0300,6.0408,none,1.4200,0.0000,-1107.6420,9472.9590,4834.1920,-271.4859,2875.1437,1630.0740,10692.6720
3,180,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.80000,1.790600,-0.009400,1.4200,-2.0300,6.1288,none,1.4200,0.0000,-1098.6270,9472.3570,4824.5120,-262.4709,2874.5417,1620.3940,10686.8351
3,180,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.80000,1.790700,-0.009300,1.4200,-2.0300,6.2169,none,1.4200,0.0000,-1106.4400,9470.5590,4826.4480,-270.2839,2872.7437,1622.3300,10686.9218
3,180,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.80000,1.790500,-0.009500,1.4200,-2.0300,6.3049,none,1.4200,0.0000,-1107.0410,9475.9620,4833.2230,-270.8849,2878.1467,1629.1050,10694.8324
