trial,hold_label,phase,control_mode,sample_id,magnet_id,head_id,force_calibration_id,displacement_zero_id,d_target_mm,d_actual_mm,mark10_pos_mm,t_rel_s,F_N,mean_Bx_uT,mean_By_uT,mean_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT
2,160,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.6000,1.5900,-2.2900,4.8107,1.942100,-1128.0760,9665.2800,2953.3680,-275.4928,3422.8626,865.4693,10169.1974
2,160,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.6000,1.5900,-2.2900,4.8988,1.931800,-1129.8790,9652.0580,2962.0800,-277.2958,3409.6406,874.1813,10159.3685
2,160,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.6000,1.5900,-2.2900,4.9871,1.943700,-1132.2830,9659.8710,2961.1110,-279.6998,3417.4536,873.2123,10166.7768
2,160,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.6000,1.5900,-2.2900,5.0750,1.938000,-1128.6770,9661.6740,2964.0150,-276.0938,3419.2566,876.1163,10168.9351
2,160,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.6000,1.5900,-2.2900,5.1635,1.933200,-1131.0810,9662.8740,2959.1750,-278.4978,3420.4566,871.2763,10168.9328
2,160,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.6000,1.5900,-2.2900,5.2520,1.934100,-1130.4800,9659.2690,2968.8550,-277.8968,3416.8516,880.9563,10168.2625
2,160,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.6000,1.5900,-2.2900,5.3393,1.938500,-1125.6720,9665.8820,2959.1750,-273.0888,3423.4646,871.2763,10171.1911
2,160,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.6000,1.5900,-2.2900,5.4274,1.936400,-1130.4800,9660.4690,2960.1440,-277.8968,3418.0516,872.2453,10166.8628
2,160,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.6000,1.5900,-2.2900,5.5154,1.944900,-1126.2730,9663.4770,2961.1110,-273.6898,3421.0596,873.2123,10169.5357
2,160,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.6000,1.5900,-2.2900,5.6035,1.941400,-1131.6820,9661.0720,2963.0480,-279.0988,3418.6546,875.1493,10168.4153
2,160,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.6000,1.5900,-2.2900,5.6917,1.945500,-1128.0760,9658.6710,2957.2400,-275.4928,3416.2536,869.3413,10164.0420
2,160,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.6000,1.5900,-2.2900,5.7798,1.939900,-1127.4750,9658.6710,2964.9840,-274.8918,3416.2536,877.0853,10166.2311
2,160,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.6000,1.5900,-2.2900,5.8677,1.942800,-1131.0810,9662.8740,2962.0800,-278.4978,3420.4566,874.1813,10169.7786
2,160,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.6000,1.5900,-2.2900,5.9559,1.951600,-1128.6770,9658.0640,2952.3990,-276.0938,3415.6466,864.5003,10162.1244
2,160,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.6000,1.5900,-2.2900,6.0437,1.942000,-1124.4700,9657.4710,2960.1440,-271.8868,3415.0536,872.2453,10163.3475
2,160,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.6000,1.5900,-2.2900,6.1317,1.944200,-1128.6770,9658.0640,2967.8880,-276.0938,3415.6466,879.9893,10166.6352
2,160,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.6000,1.5900,-2.2900,6.2197,1.948200,-1128.0760,9664.0790,2969.8240,-275.4928,3421.6616,881.9253,10172.8478
2,160,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.6000,1.5900,-2.2900,6.3078,1.948200,-1127.4750,9656.2660,2961.1110,-274.8918,3413.8486,873.2123,10162.8171
2,160,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.6000,1.5900,-2.2900,6.3958,1.945400,-1122.0660,9665.8820,2959.1750,-269.4828,3423.4646,871.2763,10170.7927
2,160,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.6000,1.5900,-2.2900,6.4840,1.946400,-1125.6720,9660.4690,2957.2400,-273.0888,3418.0516,869.3413,10165.4841
2,160,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.6000,1.5900,-2.2900,6.5725,1.936700,-1126.2730,9659.8710,2961.1110,-273.6898,3417.4536,873.2123,10166.1092
