Bx_uT,By_uT,Bz_uT
2.301449999999999818e+03,3.896550000000000182e+03,6.246020999999999731e+03
2.301599999999999909e+03,3.896250000000000000e+03,6.244813000000000102e+03
2.301599999999999909e+03,3.896849999999999909e+03,6.247230999999999767e+03
2.301750000000000000e+03,3.896550000000000182e+03,6.255457999999999629e+03
2.301148999999999887e+03,3.896550000000000182e+03,6.238032000000000153e+03
2.301599999999999909e+03,3.897599999999999909e+03,6.247470999999999549e+03
2.301000000000000000e+03,3.896250000000000000e+03,6.250858000000000175e+03
2.301300000000000182e+03,3.897000000000000000e+03,6.242149000000000342e+03
2.301000000000000000e+03,3.896849999999999909e+03,6.239487000000000080e+03
2.301300000000000182e+03,3.897000000000000000e+03,6.233679000000000087e+03
2.301750000000000000e+03,3.897148999999999887e+03,6.251828999999999724e+03
2.302050000000000182e+03,3.896699999999999818e+03,6.258118999999999687e+03
2.301148999999999887e+03,3.896099999999999909e+03,6.246503999999999905e+03
2.301449999999999818e+03,3.897000000000000000e+03,6.236582999999999629e+03
2.301449999999999818e+03,3.897000000000000000e+03,6.233920000000000073e+03
2.301000000000000000e+03,3.896398999999999887e+03,6.251100999999999658e+03
2.301599999999999909e+03,3.895800000000000182e+03,6.261509000000000015e+03
2.302050000000000182e+03,3.896550000000000182e+03,6.240694999999999709e+03
