time_s,session_id,trial,repeat_id,pair_id,stage,state_label,phase,control_mode,path_mode,target_label,target,actual,F_target_N,F_N,F_error_N,d_preload_mm,d_actual_mm,d_mm,q_mm,mark10_pos_mm,t_rel_s,Bx_uT,By_uT,Bz_uT,mean_Bx_uT,mean_By_uT,mean_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT,sample_id,magnet_id,note
1780411730.210891,session_20260602_103531,1,1,2,Jplus,loading_target,holding,same_force_path_pair,direct_loading,220,2.20000,2.074800,2.20000,2.074800,-0.125200,nan,4.1000,4.1000,,-7.8500,4.5917,-3333.1440,10140.0640,8411.9200,-3333.1440,10140.0640,8411.9200,-1858.6616,4745.8058,4472.2859,13590.1120,,,
1780411730.298685,session_20260602_103531,1,1,2,Jplus,loading_target,holding,same_force_path_pair,direct_loading,220,2.20000,2.073300,2.20000,2.073300,-0.126700,nan,4.1000,4.1000,,-7.8500,4.6797,-3329.5390,10137.6640,8410.9540,-3329.5390,10137.6640,8410.9540,-1855.0566,4743.4058,4471.3199,13586.8395,,,
1780411730.387060,session_20260602_103531,1,1,2,Jplus,loading_target,holding,same_force_path_pair,direct_loading,220,2.20000,2.074000,2.20000,2.074000,-0.126000,nan,4.1000,4.1000,,-7.8500,4.7677,-3328.9370,10144.8740,8415.7910,-3328.9370,10144.8740,8415.7910,-1854.4546,4750.6158,4476.1569,13595.0663,,,
1780411730.475693,session_20260602_103531,1,1,2,Jplus,loading_target,holding,same_force_path_pair,direct_loading,220,2.20000,2.072200,2.20000,2.072200,-0.127800,nan,4.1000,4.1000,,-7.8500,4.8558,-3330.1400,10143.6740,8416.7620,-3330.1400,10143.6740,8416.7620,-1855.6576,4749.4158,4477.1279,13595.0666,,,
1780411730.563172,session_20260602_103531,1,1,2,Jplus,loading_target,holding,same_force_path_pair,direct_loading,220,2.20000,2.071900,2.20000,2.071900,-0.128100,nan,4.1000,4.1000,,-7.8500,4.9442,-3331.3420,10140.0640,8406.1110,-3331.3420,10140.0640,8406.1110,-1856.8596,4745.8058,4466.4769,13586.0752,,,
1780411730.651896,session_20260602_103531,1,1,2,Jplus,loading_target,holding,same_force_path_pair,direct_loading,220,2.20000,2.073300,2.20000,2.073300,-0.126700,nan,4.1000,4.1000,,-7.8500,5.0324,-3331.9420,10139.4710,8406.1110,-3331.9420,10139.4710,8406.1110,-1857.4596,4745.2128,4466.4769,13585.7798,,,
1780411730.739891,session_20260602_103531,1,1,2,Jplus,loading_target,holding,same_force_path_pair,direct_loading,220,2.20000,2.071900,2.20000,2.071900,-0.128100,nan,4.1000,4.1000,,-7.8500,5.1207,-3331.3420,10136.4630,8411.9200,-3331.3420,10136.4630,8411.9200,-1856.8596,4742.2048,4472.2859,13586.9835,,,
1780411730.828073,session_20260602_103531,1,1,2,Jplus,loading_target,holding,same_force_path_pair,direct_loading,220,2.20000,2.072200,2.20000,2.072200,-0.127800,nan,4.1000,4.1000,,-7.8500,5.2088,-3329.5390,10140.6710,8415.7910,-3329.5390,10140.6710,8415.7910,-1855.0566,4746.4128,4476.1569,13592.0777,,,
1780411730.916173,session_20260602_103531,1,1,2,Jplus,loading_target,holding,same_force_path_pair,direct_loading,220,2.20000,2.071800,2.20000,2.071800,-0.128200,nan,4.1000,4.1000,,-7.8500,5.2975,-3330.1400,10143.6740,8412.8900,-3330.1400,10143.6740,8412.8900,-1855.6576,4749.4158,4473.2559,13592.6698,,,
1780411731.004371,session_20260602_103531,1,1,2,Jplus,loading_target,holding,same_force_path_pair,direct_loading,220,2.20000,2.072100,2.20000,2.072100,-0.127900,nan,4.1000,4.1000,,-7.8500,5.3849,-3331.3420,10140.0640,8403.2100,-3331.3420,10140.0640,8403.2100,-1856.8596,4745.8058,4463.5759,13584.2805,,,
1780411731.091898,session_20260602_103531,1,1,2,Jplus,loading_target,holding,same_force_path_pair,direct_loading,220,2.20000,2.072000,2.20000,2.072000,-0.128000,nan,4.1000,4.1000,,-7.8500,5.4732,-3328.3370,10144.8740,8414.8260,-3328.3370,10144.8740,8414.8260,-1853.8546,4750.6158,4475.1919,13594.3221,,,
1780411731.180663,session_20260602_103531,1,1,2,Jplus,loading_target,holding,same_force_path_pair,direct_loading,220,2.20000,2.070700,2.20000,2.070700,-0.129300,nan,4.1000,4.1000,,-7.8500,5.5613,-3332.5440,10144.2720,8405.1460,-3332.5440,10144.2720,8405.1460,-1858.0616,4750.0138,4465.5119,13588.9140,,,
