model,session_id,cycle_index,d_target_mm,measured_delta_F_N,predicted_delta_F_N,abs_delta_F_residual_N,measured_delta_d_mm,predicted_delta_d_mm,abs_delta_d_residual_mm
apmd_local_identifiability_dual_ridge,session_20260615_160438,1,3.35,-2.3344999999999994,-2.191469024461285,0.14303097553871424,0.0,0.03556259285169139,0.03556259285169139
apmd_local_identifiability_dual_ridge,session_20260615_160438,1,3.45,-2.5323,-2.3817661832823527,0.15053381671764754,-0.020000000000000018,0.009173871032924996,0.029173871032925014
apmd_local_identifiability_dual_ridge,session_20260615_160438,1,3.55,-2.0322999999999993,-1.879106453754698,0.15319354624530135,0.0,0.02385019845912062,0.02385019845912062
apmd_local_identifiability_dual_ridge,session_20260615_160438,2,3.05,-2.3884,-2.4727470184585627,0.08434701845856285,-0.020000000000000018,0.003875264052151106,0.023875264052151124
apmd_local_identifiability_dual_ridge,session_20260615_160438,2,3.15,-2.8383000000000003,-2.839288151401929,0.0009881514019287607,-0.040000000000000036,-0.02361670548781314,0.016383294512186897
apmd_local_identifiability_dual_ridge,session_20260615_160438,2,3.25,-2.798,-2.7216783315452684,0.07632166845473165,-0.010000000000000231,0.004778045530627217,0.014778045530627448
apmd_local_identifiability_dual_ridge,session_20260615_160438,2,3.35,-2.6327,-2.488028642933683,0.14467135706631673,0.0,0.023736100765658907,0.023736100765658907
apmd_local_identifiability_dual_ridge,session_20260615_160438,2,3.45,-2.8407999999999998,-2.6629676745513002,0.17783232544869954,-0.020000000000000018,0.003416224255663014,0.023416224255663032
apmd_local_identifiability_dual_ridge,session_20260615_160438,2,3.55,-2.261700000000001,-2.0868691915497557,0.17483080845024546,0.0,0.01957472447080688,0.01957472447080688
apmd_local_identifiability_dual_ridge,session_20260615_160438,3,3.05,-2.4448,-2.536261132275855,0.09146113227585495,-0.029999999999999805,0.00012823240543990977,0.030128232405439714
apmd_local_identifiability_dual_ridge,session_20260615_160438,3,3.15,-2.553699999999999,-2.5106302702733396,0.04306972972665957,0.0,0.026962853664938002,0.026962853664938002
apmd_local_identifiability_dual_ridge,session_20260615_160438,3,3.25,-2.8796999999999997,-2.8028258611257977,0.07687413887420202,-0.020000000000000018,0.0018440332202205312,0.02184403322022055
apmd_local_identifiability_dual_ridge,session_20260615_160438,3,3.35,-2.6889000000000003,-2.5377447716549035,0.15115522834509676,0.0,0.022396429878147384,0.022396429878147384
apmd_local_identifiability_dual_ridge,session_20260615_160438,3,3.45,-2.9232499999999995,-2.737540140849889,0.1857098591501103,-0.020000000000000018,0.0021897691133827557,0.022189769113382773
