rank,same_d_target_d_mm,same_d_state_F_mid_N,same_F_target_F_N,same_F_state_d_mid_mm,d_distance_mm,F_distance_N,jF_x_uT_per_N,jF_y_uT_per_N,jF_z_uT_per_N,jF_norm_uT_per_N,jd_x_uT_per_mm,jd_y_uT_per_mm,jd_z_uT_per_mm,jd_norm_uT_per_mm,angle_deg,abs_cosine,condition_scaled,condition_raw,same_d_noise_ratio,same_F_noise_ratio,min_noise_ratio,directional_consistency_mean,locality_distance,locality_score,identifiability_score,verdict
31,3.0,4.1522250000000005,2.5,2.1100000000000003,0.8799999999999999,1.6522250000000005,2.2145796229196093,180.12037093901617,66.58232512436282,192.04545922536514,42.92857142857142,1699.9785714285713,1424.342857142857,2218.2250968409635,19.673892455251814,0.9416240487758186,5.767207616350684,34.53672508900655,15.53619,31.1406,15.53619,0.9997874149067973,2.8405518867750374,0.01769686965433217,0.005209557590976939,exploratory
32,2.6,2.562525,1.5,1.67,0.9199999999999999,1.062525,1.1644832605531295,194.7947598253275,72.33090732654053,207.7934422241273,7.512499999999999,1694.08125,1282.6125,2124.8676533878674,16.759215150948318,0.9575249964523129,6.788705145339985,35.77453101774711,11.01997,33.998149999999995,11.01997,0.9987153995943499,2.762593302587632,0.022016549074442508,0.003323270032198797,exploratory
33,2.8,3.33985,1.8,1.7850000000000001,1.005,1.5398500000000002,0.8606616067592725,139.42718029500213,49.90405269941286,148.09150488546652,32.053333333333335,1935.2133333333334,1671.4333333333334,2557.2969028774633,21.126163360801755,0.932789049776148,5.36256056905685,48.051248458628535,10.34123,38.359320000000004,10.34123,0.9997091551055317,3.124520823296962,0.007587029096337636,0.0017166965502099232,exploratory
34,3.6,8.13085,4.3,2.795,0.7949999999999999,3.8308500000000008,1.1360342763530968,129.88658559637074,14.02810156889925,130.6468649657838,49.17272727272727,1884.9590909090907,2477.195454545454,3113.195472746439,46.56537475292933,0.6875264722351935,2.323906667081733,32.84257523627499,20.73496,34.27409,20.73496,0.9997602876216738,3.8146626662788994,0.0006920684931175928,0.0007422817018897855,exploratory
35,3.2,5.189025,2.5,2.1100000000000003,1.085,2.689025,4.323741007194244,202.60328879753342,32.33247687564234,205.21251528303037,42.92857142857142,1699.9785714285713,1424.342857142857,2218.2250968409635,30.88485723183528,0.858200600168642,3.6200044271316805,21.19109125327651,20.05794,31.1406,20.05794,0.9997532212676477,3.7732939838289834,0.0008096781425019868,0.0005571788776435929,exploratory
36,2.8,3.33985,1.5,1.67,1.12,1.8398500000000002,0.8606616067592725,139.42718029500213,49.90405269941286,148.09150488546652,7.512499999999999,1694.08125,1282.6125,2124.8676533878674,17.43675771256282,0.9540482845976919,6.521038754683404,48.09499871456049,10.34123,33.998149999999995,10.34123,0.999708813278332,3.522276356903303,0.0020229157510801175,0.00031067046024628556,exploratory
37,3.4,6.463775,3.2,2.315,1.0749999999999997,3.263775,4.063041365614569,191.9753242912072,8.181011535048802,192.19251388019634,49.17272727272727,2076.172727272727,1672.009090909091,2666.181830007315,36.39837616767645,0.8049106152481981,3.0416625458514193,23.45691643715391,22.77521,29.23457,22.77521,0.99987543671612,4.031265174828834,0.00029588211151098835,0.00027249999487970276,exploratory
38,3.6,8.13085,3.75,2.79,0.7999999999999998,4.380850000000001,1.1360342763530968,129.88658559637074,14.02810156889925,130.6468649657838,85.85714285714285,1695.6928571428568,2305.9107142857138,2863.558963423409,47.51154621492253,0.6754416181631677,2.2720518331512873,29.75149333682775,20.73496,40.08983,20.73496,0.9997575500007421,4.184169176589108,0.00015788622975359477,0.0001727821220031549,exploratory
39,3.0,4.1522250000000005,1.8,1.7850000000000001,1.205,2.3522250000000007,2.2145796229196093,180.12037093901617,66.58232512436282,192.04545922536514,32.053333333333335,1935.2133333333334,1671.4333333333334,2557.2969028774633,20.528507376960608,0.9364978284790813,5.522226539397657,38.16089411846782,15.53619,38.359320000000004,15.53619,0.9998170580112691,3.9235648681425483,0.0004541056683836485,0.0001456775530568128,exploratory
40,3.0,4.1522250000000005,1.5,1.67,1.3200000000000003,2.6522250000000005,2.2145796229196093,180.12037093901617,66.58232512436282,192.04545922536514,7.512499999999999,1694.08125,1282.6125,2124.8676533878674,16.84850939244224,0.9570744460804335,6.752206553412239,38.459695656766186,15.53619,33.998149999999995,15.53619,0.9998167161840695,4.3273113867374695,8.58583322950804e-05,1.8488029525166437e-05,exploratory
41,3.4,6.463775,2.5,2.1100000000000003,1.2799999999999994,3.963775,4.063041365614569,191.9753242912072,8.181011535048802,192.19251388019634,42.92857142857142,1699.9785714285713,1424.342857142857,2218.2250968409635,37.51025058191756,0.7932444162765989,2.9450394726648152,19.044653161537564,22.77521,31.1406,22.77521,0.9998907676644553,4.8404608993308695,8.170088155730335e-06,7.754416915319676e-06,exploratory
42,3.2,5.189025,1.8,1.7850000000000001,1.4100000000000001,3.389025,4.323741007194244,202.60328879753342,32.33247687564234,205.21251528303037,32.053333333333335,1935.2133333333334,1671.4333333333334,2557.2969028774633,31.748966415275493,0.8503617174704077,3.51647034955899,23.79297672248796,20.05794,38.359320000000004,20.05794,0.9997828643721194,4.855934682787861,7.579594757949908e-06,5.3619787137899055e-06,exploratory
43,3.2,5.189025,1.5,1.67,1.5250000000000004,3.689025,4.323741007194244,202.60328879753342,32.33247687564234,205.21251528303037,7.512499999999999,1694.08125,1282.6125,2124.8676533878674,28.07822389328891,0.882305817319858,3.9991490756347714,22.159185969535866,20.05794,33.998149999999995,20.05794,0.9997825225449197,5.262546281597059,9.688106197841789e-07,6.061189781443145e-07,exploratory
44,3.6,8.13085,3.2,2.315,1.275,4.93085,1.1360342763530968,129.88658559637074,14.02810156889925,130.6468649657838,49.17272727272727,2076.172727272727,1672.009090909091,2666.181830007315,32.68296272487376,0.8416713887353507,3.410565301772827,37.856775684527534,20.73496,29.23457,20.73496,0.9997489767001093,5.369442100038449,5.48842548852238e-07,4.131624574701924e-07,exploratory
45,3.4,6.463775,1.8,1.7850000000000001,1.6049999999999995,4.663775,4.063041365614569,191.9753242912072,8.181011535048802,192.19251388019634,32.053333333333335,1935.2133333333334,1671.4333333333334,2557.2969028774633,38.37421397868863,0.7839729261122765,2.87369080277642,21.508234230982914,22.77521,38.359320000000004,22.77521,0.999920410768927,5.9117920929785805,2.5754850070970353e-08,2.500828056733141e-08,exploratory
46,3.6,8.13085,2.5,2.1100000000000003,1.4799999999999995,5.630850000000001,1.1360342763530968,129.88658559637074,14.02810156889925,130.6468649657838,42.92857142857142,1699.9785714285713,1424.342857142857,2218.2250968409635,33.79599975809925,0.831023306358073,3.2918006914892097,30.59754224353681,20.73496,31.1406,20.73496,0.9997643076484446,6.178426840946699,5.138631107407289e-09,4.000101951817554e-09,exploratory
47,3.4,6.463775,1.5,1.67,1.7199999999999998,4.963775,4.063041365614569,191.9753242912072,8.181011535048802,192.19251388019634,7.512499999999999,1694.08125,1282.6125,2124.8676533878674,34.70118309184569,0.822132285889084,3.2006736156841886,19.528013730568283,22.77521,33.998149999999995,22.77521,0.9999200689417274,6.318164600739099,2.1461249689130434e-09,1.884449288043776e-09,exploratory
48,3.6,8.13085,1.8,1.7850000000000001,1.8049999999999997,6.330850000000001,1.1360342763530968,129.88658559637074,14.02810156889925,130.6468649657838,32.053333333333335,1935.2133333333334,1671.4333333333334,2557.2969028774633,34.65145288883333,0.8226261003390559,3.2055601861643623,34.487009075767475,20.73496,38.359320000000004,20.73496,0.9997939507529163,7.2282159590994235,4.5152842434115865e-12,3.6039415668460746e-12,exploratory
49,3.6,8.13085,1.5,1.67,1.92,6.630850000000001,1.1360342763530968,129.88658559637074,14.02810156889925,130.6468649657838,7.512499999999999,1694.08125,1282.6125,2124.8676533878674,30.96644875050079,0.8574687496004094,3.6099876017333847,31.697407872942414,20.73496,33.998149999999995,20.73496,0.9997936089257167,7.631034735007423,2.2642886447481803e-13,1.61508074830475e-13,exploratory
