experiment,path_family,source_kind,source_pair_csv,session_id,trial,pair_id,target_label,target_F_N,d_target_mm,d_preload_mm,preload_extra_mm,preload_hold_s,recovery_s,d_direct_mm,d_return_mm,delta_d_mm,abs_delta_d_mm,F_direct_N,F_return_N,delta_F_N,abs_delta_F_N,delta_Bmag_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,delta_Bvec_uT,verdict,same_d_ok,same_F_ok,force_split_ok,disp_split_ok,b_signal_ok,raw_file_found,raw_file,raw_file_warning
3.3A same-d preload-depth dosage,same_d_different_F,session_pair_summary,decouple_data\session_20260612_155336\same_d_path_dosage_A_pair_summary.csv,session_20260612_155336,3,3,340,,3.4,3.8,,,,3.38,3.4,0.02,0.02,7.6696,6.1558,-1.5138,1.5138,212.4689,-7.212,233.187,75.504,245.2122,strong,1,1,1,1,1,1,decouple_data\session_20260612_155336\same_d_path_dosage_A_340_pre380_rep3.csv,
3.3B same-d preload-hold-time dosage,same_d_different_F,session_pair_summary,decouple_data\session_20260612_180059\same_d_path_hold_time_B_pair_summary.csv,session_20260612_180059,1,1,340,,3.4,3.8,,5.0,,3.39,3.41,0.02,0.02,7.6895,6.1525,-1.537,1.537,225.3522,-9.616,233.786,92.929,251.7621,strong,1,1,1,1,1,1,decouple_data\session_20260612_180059\same_d_path_hold_time_B_340_pre380_hold005_rep1.csv,
3.3B same-d preload-hold-time dosage,same_d_different_F,session_pair_summary,decouple_data\session_20260612_180059\same_d_path_hold_time_B_pair_summary.csv,session_20260612_180059,2,1,340,,3.4,3.8,,5.0,,3.38,3.4,0.02,0.02,8.0081,6.4612,-1.5469,1.5469,226.3218,-7.212,237.995,90.024,254.5544,strong,1,1,1,1,1,1,decouple_data\session_20260612_180059\same_d_path_hold_time_B_340_pre380_hold005_rep2.csv,
3.3B same-d preload-hold-time dosage,same_d_different_F,session_pair_summary,decouple_data\session_20260612_180059\same_d_path_hold_time_B_pair_summary.csv,session_20260612_180059,3,1,340,,3.4,3.8,,5.0,,3.39,3.41,0.02,0.02,7.6555,6.1572,-1.4983,1.4983,213.2278,-9.015,234.99,75.503,246.9864,strong,1,1,1,1,1,1,decouple_data\session_20260612_180059\same_d_path_hold_time_B_340_pre380_hold005_rep3.csv,
3.3B same-d preload-hold-time dosage,same_d_different_F,session_pair_summary,decouple_data\session_20260612_180059\same_d_path_hold_time_B_pair_summary.csv,session_20260612_180059,1,2,340,,3.4,3.8,,30.0,,3.38,3.4,0.02,0.02,7.9754,6.3669,-1.6085,1.6085,205.904,-9.616,225.976,74.539,238.1463,strong,1,1,1,1,1,1,decouple_data\session_20260612_180059\same_d_path_hold_time_B_340_pre380_hold030_rep1.csv,
3.3B same-d preload-hold-time dosage,same_d_different_F,session_pair_summary,decouple_data\session_20260612_180059\same_d_path_hold_time_B_pair_summary.csv,session_20260612_180059,2,2,340,,3.4,3.8,,30.0,,3.38,3.4,0.02,0.02,7.9384,6.3486,-1.5898,1.5898,204.6013,-8.414,222.974,73.568,234.9478,strong,1,1,1,1,1,1,decouple_data\session_20260612_180059\same_d_path_hold_time_B_340_pre380_hold030_rep2.csv,
3.3B same-d preload-hold-time dosage,same_d_different_F,session_pair_summary,decouple_data\session_20260612_180059\same_d_path_hold_time_B_pair_summary.csv,session_20260612_180059,3,2,340,,3.4,3.8,,30.0,,3.38,3.4,0.02,0.02,7.9141,6.3422,-1.5719,1.5719,208.3071,-7.813,224.773,76.472,237.554,strong,1,1,1,1,1,1,decouple_data\session_20260612_180059\same_d_path_hold_time_B_340_pre380_hold030_rep3.csv,
3.3B same-d preload-hold-time dosage,same_d_different_F,session_pair_summary,decouple_data\session_20260612_180059\same_d_path_hold_time_B_pair_summary.csv,session_20260612_180059,1,3,340,,3.4,3.8,,90.0,,3.39,3.41,0.02,0.02,7.5741,6.0268,-1.5473,1.5473,218.0268,-8.413,237.997,78.408,250.7213,strong,1,1,1,1,1,1,decouple_data\session_20260612_180059\same_d_path_hold_time_B_340_pre380_hold090_rep1.csv,
3.3B same-d preload-hold-time dosage,same_d_different_F,session_pair_summary,decouple_data\session_20260612_180059\same_d_path_hold_time_B_pair_summary.csv,session_20260612_180059,2,3,340,,3.4,3.8,,90.0,,3.38,3.4,0.02,0.02,8.3749,6.6526,-1.7223,1.7223,203.6069,-9.015,219.368,76.469,232.4889,strong,1,1,1,1,1,1,decouple_data\session_20260612_180059\same_d_path_hold_time_B_340_pre380_hold090_rep2.csv,
3.3B same-d preload-hold-time dosage,same_d_different_F,session_pair_summary,decouple_data\session_20260612_180059\same_d_path_hold_time_B_pair_summary.csv,session_20260612_180059,3,3,340,,3.4,3.8,,90.0,,3.38,3.4,0.02,0.02,7.8213,6.2217,-1.5996,1.5996,209.0542,-8.414,228.379,73.569,240.0837,strong,1,1,1,1,1,1,decouple_data\session_20260612_180059\same_d_path_hold_time_B_340_pre380_hold090_rep3.csv,
3.4A same-F preload-depth dosage,same_F_different_d,report_replicates,reports\experiment_3_4A_same_f_path_dosage_replicates.csv,session_20260612_203004,1,1,,,,,0.2,,,2.54,2.64,0.1,0.1,3.6218,3.6461,0.0243,0.0243,267.3662,4.808,161.067,216.831,270.1507,formal_strong,1,1,1,1,1,1,decouple_data\session_20260612_203004\same_f_path_dosage_A_extra020_375_rep1.csv,
