experiment,path_family,session_id,trial,pair_id,raw_file,state_label,path_label,target_label,target_F_N,d_target_mm,d_preload_mm,preload_extra_mm,preload_hold_s,recovery_s,F_N,d_mm,Bx_uT,By_uT,Bz_uT,Bmag_uT,delta_Bx_from_B0_uT,delta_By_from_B0_uT,delta_Bz_from_B0_uT,summary_window_s,state_n_samples,state_duration_s,pair_delta_F_N,pair_delta_d_mm,pair_delta_Bvec_uT,pair_verdict,source_kind,source_state_csv,cycle_index,state_index,branch,path_mode,phase
3.1 same-d/different-F work-zone scan,same_d_different_F,session_20260610_104017,2,2,decouple_data\session_20260610_104017\same_d_different_f_scan_B_340_rep2.csv,return_target,return_unloading,340,,3.4,3.7,,,,5.5568,3.4,-485.607,8683.247,5493.4,10286.6376,-49.9779,5204.9807,3986.1669,10.0,114,9.980199999999996,-1.1218,0.02,231.6714,strong,,,,,,,
3.1 same-d/different-F work-zone scan,same_d_different_F,session_20260610_104017,3,3,decouple_data\session_20260610_104017\same_d_different_f_scan_B_340_rep3.csv,direct_target,direct_loading,340,,3.4,3.7,,,,7.05545,3.38,-485.006,8588.89,5577.616,10252.92615,-50.3049,5109.993,4063.4783,10.0,114,9.979,-1.18335,0.02,227.7521,strong,,,,,,,
3.1 same-d/different-F work-zone scan,same_d_different_F,session_20260610_104017,3,3,decouple_data\session_20260610_104017\same_d_different_f_scan_B_340_rep3.csv,preload_deep,preload_deep,340,,3.4,3.7,,,,9.72385,3.68,-464.572,9341.343,5990.952,11107.18165,-29.8709,5862.446,4476.8143,10.0,114,9.979,-1.18335,0.02,227.7521,strong,,,,,,,
3.1 same-d/different-F work-zone scan,same_d_different_F,session_20260610_104017,3,3,decouple_data\session_20260610_104017\same_d_different_f_scan_B_340_rep3.csv,return_target,return_unloading,340,,3.4,3.7,,,,5.8721,3.4,-480.198,8816.064,5593.104,10451.136900000001,-45.4969,5337.167,4078.9663,10.0,114,9.979499999999994,-1.18335,0.02,227.7521,strong,,,,,,,
3.1 same-d/different-F work-zone scan,same_d_different_F,session_20260610_104017,1,1,decouple_data\session_20260610_104017\same_d_different_f_scan_B_360_rep1.csv,direct_target,direct_loading,360,,3.6,3.9,,,,8.93375,3.59,-465.774,9197.098,5927.064,10951.073250000001,-29.9465,5710.786,4407.1312,10.0,114,9.980899999999998,-1.6058,0.01,212.9418,strong,,,,,,,
3.1 same-d/different-F work-zone scan,same_d_different_F,session_20260610_104017,1,1,decouple_data\session_20260610_104017\same_d_different_f_scan_B_360_rep1.csv,preload_deep,preload_deep,360,,3.6,3.9,,,,12.089200000000002,3.88,-448.345,9957.365,6292.968,11787.2802,-12.5175,6471.053,4773.0352,10.0,114,9.980899999999998,-1.6058,0.01,212.9418,strong,,,,,,,
3.1 same-d/different-F work-zone scan,same_d_different_F,session_20260610_104017,1,1,decouple_data\session_20260610_104017\same_d_different_f_scan_B_360_rep1.csv,return_target,return_unloading,360,,3.6,3.9,,,,7.3279499999999995,3.6,-462.4685,9407.455,5959.976,11145.9815,-26.641,5921.143,4440.0432,10.0,114,9.982800000000005,-1.6058,0.01,212.9418,strong,,,,,,,
3.1 same-d/different-F work-zone scan,same_d_different_F,session_20260610_104017,2,2,decouple_data\session_20260610_104017\same_d_different_f_scan_B_360_rep2.csv,direct_target,direct_loading,360,,3.6,3.9,,,,8.9668,3.58,-462.168,9266.816,5961.912,11029.09115,-27.2941,5772.2396,4434.1027,10.0,114,9.980599999999995,-1.5871,0.02,207.3496,strong,,,,,,,
3.1 same-d/different-F work-zone scan,same_d_different_F,session_20260610_104017,2,2,decouple_data\session_20260610_104017\same_d_different_f_scan_B_360_rep2.csv,preload_deep,preload_deep,360,,3.6,3.9,,,,12.2257,3.88,-446.542,10026.48,6321.039,11860.5761,-11.6681,6531.9036,4793.2297,10.0,114,9.9814,-1.5871,0.02,207.3496,strong,,,,,,,
3.1 same-d/different-F work-zone scan,same_d_different_F,session_20260610_104017,2,2,decouple_data\session_20260610_104017\same_d_different_f_scan_B_360_rep2.csv,return_target,return_unloading,360,,3.6,3.9,,,,7.3797,3.6,-460.365,9472.959,5984.176,11214.51395,-25.4911,5978.3826,4456.3667,10.0,114,9.981299999999997,-1.5871,0.02,207.3496,strong,,,,,,,
3.1 same-d/different-F work-zone scan,same_d_different_F,session_20260610_104017,3,3,decouple_data\session_20260610_104017\same_d_different_f_scan_B_360_rep3.csv,direct_target,direct_loading,360,,3.6,3.9,,,,8.889700000000001,3.58,-460.365,9284.245,5966.752,11045.372899999998,-24.1033,5781.8594,4429.2754,10.0,114,9.982,-1.5742,0.02,201.8583,strong,,,,,,,
