time_s,session_id,trial,repeat_id,pair_id,stage,state_label,phase,control_mode,path_mode,target_label,nominal_d_mm,nominal_preload_d_mm,motion_depth_from_start_mm,mark10_pos_mm,t_rel_s,F_N,mean_Bx_uT,mean_By_uT,mean_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT,sample_id,magnet_id,head_id,force_calibration_id,displacement_zero_id,note
1781638182.583043,session_20260616_152850,1,1,1,no_contact_motion_artifact,direct_target,no_contact_replay,no_contact_motion_replay,direct_loading,340,3.4000,3.8000,5.0100,-5.0100,5.1377,0.050000,-448.3450,2611.9450,2584.5590,0.8514,6.6845,-0.6151,3701.7854,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,no_contact
1781638182.671294,session_20260616_152850,1,1,1,no_contact_motion_artifact,direct_target,no_contact_replay,no_contact_motion_replay,direct_loading,340,3.4000,3.8000,5.0100,-5.0100,5.2267,0.051000,-450.7490,2606.5360,2586.4960,-1.5526,1.2755,1.3219,3699.6170,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,no_contact
1781638182.759413,session_20260616_152850,1,1,1,no_contact_motion_artifact,direct_target,no_contact_replay,no_contact_motion_replay,direct_loading,340,3.4000,3.8000,5.0100,-5.0100,5.3147,0.051300,-445.3400,2605.3340,2588.4320,3.8564,0.0735,3.2579,3699.4693,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,no_contact
1781638182.848057,session_20260616_152850,1,1,1,no_contact_motion_artifact,direct_target,no_contact_replay,no_contact_motion_replay,direct_loading,340,3.4000,3.8000,5.0100,-5.0100,5.4034,0.052300,-445.9410,2602.3290,2587.4640,3.2554,-2.9315,2.2899,3696.7485,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,no_contact
1781638182.936418,session_20260616_152850,1,1,1,no_contact_motion_artifact,direct_target,no_contact_replay,no_contact_motion_replay,direct_loading,340,3.4000,3.8000,5.0100,-5.0100,5.4918,0.051000,-451.3500,2607.7380,2589.3990,-2.1536,2.4775,4.2249,3702.5669,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,no_contact
1781638183.024455,session_20260616_152850,1,1,1,no_contact_motion_artifact,direct_target,no_contact_replay,no_contact_motion_replay,direct_loading,340,3.4000,3.8000,5.0100,-5.0100,5.5806,0.051400,-451.3500,2601.7270,2585.5270,-2.1536,-3.5335,0.3529,3695.6258,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,no_contact
1781638183.113702,session_20260616_152850,1,1,1,no_contact_motion_artifact,direct_target,no_contact_replay,no_contact_motion_replay,direct_loading,340,3.4000,3.8000,5.0100,-5.0100,5.6688,0.051200,-448.9460,2604.7330,2588.4320,0.2504,-0.5275,3.2579,3699.4820,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,no_contact
1781638183.201835,session_20260616_152850,1,1,1,no_contact_motion_artifact,direct_target,no_contact_replay,no_contact_motion_replay,direct_loading,340,3.4000,3.8000,5.0100,-5.0100,5.7576,0.048700,-450.7490,2606.5360,2588.4320,-1.5526,1.2755,3.2579,3700.9708,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,no_contact
1781638183.290178,session_20260616_152850,1,1,1,no_contact_motion_artifact,direct_target,no_contact_replay,no_contact_motion_replay,direct_loading,340,3.4000,3.8000,5.0100,-5.0100,5.8458,0.048300,-449.5470,2614.3490,2595.2080,-0.3506,9.0885,10.0339,3711.0669,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,no_contact
1781638183.378831,session_20260616_152850,1,1,1,no_contact_motion_artifact,direct_target,no_contact_replay,no_contact_motion_replay,direct_loading,340,3.4000,3.8000,5.0100,-5.0100,5.9345,0.051000,-448.9460,2607.7380,2592.3040,0.2504,2.4775,7.1299,3704.3070,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,no_contact
