trial,hold_label,phase,control_mode,F_target_N,F_N,F_error_N,d_actual_mm,mark10_pos_mm,t_rel_s,control_action,mean_Bx_uT,mean_By_uT,mean_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT
1,90,holding,force_hold,0.81000,0.804800,-0.005200,3.1100,-4.9000,28.3521,none,47.4790,-4164.3270,-4441.1840,34.2580,-689.2715,-2890.5287,6088.3486
1,90,holding,force_hold,0.81000,0.802600,-0.007400,3.1100,-4.9000,28.3525,none,48.0790,-4165.5300,-4443.1190,34.8580,-690.4745,-2892.4637,6090.5877
1,90,holding,force_hold,0.81000,0.801200,-0.008800,3.1100,-4.9000,28.3529,none,48.6800,-4165.5300,-4443.1190,35.4590,-690.4745,-2892.4637,6090.5924
1,90,holding,force_hold,0.81000,0.803200,-0.006800,3.1100,-4.9000,28.3533,none,48.0790,-4164.9290,-4443.1190,34.8580,-689.8735,-2892.4637,6090.1766
1,90,holding,force_hold,0.81000,0.801800,-0.008200,3.1100,-4.9000,28.3537,none,48.6800,-4165.5300,-4442.1520,35.4590,-690.4745,-2891.4967,6089.8871
1,90,holding,force_hold,0.81000,0.800600,-0.009400,3.1100,-4.9000,28.3541,none,48.6800,-4166.1320,-4442.1520,35.4590,-691.0765,-2891.4967,6090.2988
1,90,holding,force_hold,0.81000,0.803000,-0.007000,3.1100,-4.9000,28.3545,none,48.6800,-4166.1320,-4443.1190,35.4590,-691.0765,-2892.4637,6091.0042
1,90,holding,force_hold,0.81000,0.801000,-0.009000,3.1100,-4.9000,28.3549,none,48.0790,-4164.9290,-4442.1520,34.8580,-689.8735,-2891.4967,6089.4712
1,90,holding,force_hold,0.81000,0.800900,-0.009100,3.1100,-4.9000,28.3553,none,48.0790,-4165.5300,-4443.1190,34.8580,-690.4745,-2892.4637,6090.5877
1,90,holding,force_hold,0.81000,0.800000,-0.010000,3.1100,-4.9000,28.3557,none,48.0790,-4164.9290,-4441.1840,34.8580,-689.8735,-2890.5287,6088.7651
1,90,holding,force_hold,0.81000,0.801000,-0.009000,3.1100,-4.9000,28.3561,none,47.4790,-4164.3270,-4443.1190,34.2580,-689.2715,-2892.4637,6089.7603
1,90,holding,force_hold,0.81000,0.799800,-0.010200,3.1100,-4.9000,28.3565,none,48.0790,-4165.5300,-4441.1840,34.8580,-690.4745,-2890.5287,6089.1762
1,90,holding,force_hold,0.81000,0.799400,-0.010600,3.1100,-4.9000,28.3569,none,48.0790,-4165.5300,-4442.1520,34.8580,-690.4745,-2891.4967,6089.8823
1,90,holding,force_hold,0.81000,0.799400,-0.010600,3.1100,-4.9000,28.3573,none,48.0790,-4164.3270,-4441.1840,34.8580,-689.2715,-2890.5287,6088.3533
1,90,holding,force_hold,0.81000,0.799100,-0.010900,3.1100,-4.9000,28.3577,none,48.0790,-4164.9290,-4442.1520,34.8580,-689.8735,-2891.4967,6089.4712
1,90,holding,force_hold,0.81000,0.800400,-0.009600,3.1100,-4.9000,28.3581,none,48.0790,-4165.5300,-4441.1840,34.8580,-690.4745,-2890.5287,6089.1762
1,90,holding,force_hold,0.81000,0.799400,-0.010600,3.1100,-4.9000,28.3585,none,48.6800,-4163.7260,-4441.1840,35.4590,-688.6705,-2890.5287,6087.9470
1,90,holding,force_hold,0.81000,0.799100,-0.010900,3.1100,-4.9000,28.3589,none,48.6800,-4164.9290,-4440.2160,35.4590,-689.8735,-2889.5607,6088.0639
