time_s,session_id,trial,repeat_id,pair_id,stage,state_label,phase,control_mode,path_mode,target_label,d_target_mm,d_preload_mm,d_actual_mm,d_mm,q_mm,d_error_mm,mark10_pos_mm,t_rel_s,F_N,mean_Bx_uT,mean_By_uT,mean_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT,sample_id,magnet_id,note
1780345056.599941,session_20260601_160931,2,2,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2900,4.2900,,-0.0100,-7.9400,6.3863,1.915600,1031.3150,-5134.3430,9075.0020,329.8421,-5746.7413,4524.7907,10477.6309,,,
1780345056.686036,session_20260601_160931,2,2,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2900,4.2900,,-0.0100,-7.9400,6.4756,1.914300,1031.3150,-5139.1490,9073.0610,329.8421,-5751.5473,4522.8497,10478.3061,,,
1780345056.775033,session_20260601_160931,2,2,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2900,4.2900,,-0.0100,-7.9400,6.5623,1.915200,1031.9160,-5130.1350,9075.0020,330.4431,-5742.5333,4524.7907,10475.6287,,,
1780345056.863150,session_20260601_160931,2,2,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2900,4.2900,,-0.0100,-7.9400,6.6503,1.913500,1034.3200,-5130.7350,9077.9040,332.8471,-5743.1333,4527.6927,10478.6736,,,
1780345056.951372,session_20260601_160931,2,2,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2900,4.2900,,-0.0100,-7.9400,6.7391,1.913800,1030.1130,-5137.3460,9081.7750,328.6401,-5749.7443,4531.5637,10484.8507,,,
1780345057.038825,session_20260601_160931,2,2,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2900,4.2900,,-0.0100,-7.9400,6.8265,1.913400,1030.7140,-5139.7510,9082.7460,329.2411,-5752.1493,4532.5347,10486.9293,,,
1780345057.126861,session_20260601_160931,2,2,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2900,4.2900,,-0.0100,-7.9400,6.9146,1.912500,1032.5170,-5134.9430,9068.2240,331.0441,-5747.3413,4518.0127,10472.1735,,,
1780345057.215372,session_20260601_160931,2,2,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2900,4.2900,,-0.0100,-7.9400,7.0026,1.913500,1031.9160,-5133.1410,9084.6820,330.4431,-5745.5393,4534.4707,10485.4868,,,
1780345057.302930,session_20260601_160931,2,2,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2900,4.2900,,-0.0100,-7.9400,7.0907,1.913800,1033.1190,-5136.1440,9071.1300,331.6461,-5748.5423,4520.9187,10475.3382,,,
1780345057.391718,session_20260601_160931,2,2,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2900,4.2900,,-0.0100,-7.9400,7.1787,1.913100,1034.9210,-5131.9360,9083.7120,333.4481,-5744.3343,4533.5007,10484.3527,,,
1780345057.479434,session_20260601_160931,2,2,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2900,4.2900,,-0.0100,-7.9400,7.2667,1.910900,1033.1190,-5134.3430,9075.9680,331.6461,-5746.7413,4525.7567,10478.6453,,,
1780345057.567722,session_20260601_160931,2,2,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2900,4.2900,,-0.0100,-7.9400,7.3547,1.910800,1026.5070,-5137.3460,9080.8150,325.0341,-5749.7443,4530.6037,10483.6655,,,
1780345057.655517,session_20260601_160931,2,2,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2900,4.2900,,-0.0100,-7.9400,7.4427,1.910500,1030.7140,-5137.3460,9073.0610,329.2411,-5749.7443,4522.8497,10477.3628,,,
1780345057.743533,session_20260601_160931,2,2,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2900,4.2900,,-0.0100,-7.9400,7.5308,1.911200,1031.9160,-5132.5380,9081.7750,330.4431,-5744.9363,4531.5637,10482.6730,,,
1780345057.831064,session_20260601_160931,2,2,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2900,4.2900,,-0.0100,-7.9400,7.6188,1.910700,1035.5220,-5134.9430,9084.6820,334.0491,-5747.3413,4534.4707,10486.7246,,,
1780345057.919849,session_20260601_160931,2,2,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2900,4.2900,,-0.0100,-7.9400,7.7068,1.911300,1028.9120,-5140.3510,9075.9680,327.4391,-5752.7493,4525.7567,10481.1766,,,
